قد	لقد
هذا	هذه
حسن	حسناً
كان	كنت
آن	الآن
ل	لك
وجب	يجب
حسن	حسنا
أنا	انا
ل	لي
إن	إنه
كان	كانت
عند	عندما
أمر	الأمر
أن	أنه
في	فى
ذلك	كذلك
لكن	ولكن
الذي	التي
ان	انه
إن	إنها
لو	ـ
رب	لو
أين	ربما
هيا	أين
ذلك	هيا
عرف	تلك
الى	أعرف
إن	الى
كان	إن
بعض	يكون
أراد	بعض
اعتقد	أريد
أنت	أعتقد
على	انت
مثل	عليك
صحيح	مثل
ب	صحيح
أن	به
وقت	أنك
خير	الوقت
أعلم	بخير
أحد	أعلم
شخص	أحد
جد	شخص
رجل	جداً
شكر	رجل
لذا	شكراً
أمكن	لذا
كما	يمكن
كلا	كما
أكثر	كلا
بدا	أكثر
جيد	يبدو
كان	جيد
علي	تكون
يوم	علي
أمكن	اليوم
ان	يمكنك
ليس	انها
مرحبا	أليس
لدى	مرحباً
على	لدي
آخر	عليه
ليس	آخر
منذ	لست
غير	منذ
أي	غير
لدى	أيها
حق	لديك
أنت	حقاً
أراد	أنتِ
استطاع	تريد
رجل	أستطيع
عرف	الرجل
ل	تعرف
مرة	له
لدى	مرة
أن	لدينا
أمكن	أنها
أن	يمكنني
واحد	بأن
أن	واحد
أوه	أنني
كان	أوه
ناس	سيكون
ليس	الناس
حدث	ليست
ب	حدث
أيض	بها
أفضل	أيضاً
كثير	أفضل
على	الكثير
سيد	علينا
مكان	سيدي
فعل	مكان
وقت	تفعل
كان	وقت
ط	يكن
شئ	ط
هذا	شئ
أنا	بهذا
اذ	وأنا
جد	اذا
بي	جدا
آخر	بي
آسف	أخرى
ب	آسف
رائع	بك
ذلك	رائع
كم	بذلك
إذا	كم
ثم	إذاً
شيء	ثم
وجد	شيئاً
واحد	يوجد
لا	واحدة
قال	ولا
حدث	قلت
طبع	يحدث
شكر	بالطبع
مرحبا	شكرا
يوم	مرحبا
أب	يوم
مع	أبي
ل	معك
مع	لها
سيد	معي
تعلم	سيد
إذن	تعلم
عمل	إذن
تم	العمل
مكان	تم
ليلة	المكان
إلهي	الليلة
هذا	إلهي
فعل	لهذا
هكذا	فعل
أم	هكذا
ذلك	أمي
أن	لذلك
ل	ألا
الان	لـ
حول	الان
ما	حول
حق	بما
حقيقة	حقا
جميع	الحقيقة
أمكن	الجميع
تأكيد	يمكننا
أن	بالتأكيد
لدى	لأن
ل	لديه
خلال	لنا
ظ	خلال
شكل	ظ
عالم	بشكل
حسب	العالم
حال	فحسب
ذهاب	حال
على	الذهاب
ب	عليها
عنى	بـ
فعل	أعني
قال	فعلت
هم	قال
منزل	هم
عن	المنزل
ها	عنه
شأن	ها
أفعل	بشأن
كان	أفعل
لعنة	أكون
غاية	اللعنة
في	للغاية
بين	فيه
أن	بين
من	أننا
هذا	منك
ل	وهذا
جيد	لكِ
عنى	جيدة
مجرد	يعني
ظن	مجرد
ان	أظن
من	انك
أن	مني
نسبة	أنّ
أمر	بالنسبة
فكرة	الأمور
أم	فكرة
متى	أم
شيء	متى
مال	الشيء
كان	المال
قال	كنا
عمل	أقول
أبد	عمل
كان	أبداً
علي	ستكون
أي	عليّ
أمر	أيّ
قال	أمر
توقف	تقول
هذا	توقف
سيد	هؤلاء
انظر	السيد
ما	انظر
من	لما
طريق	منه
شعر	الطريق
حصل	أشعر
حياة	حصلت
أن	الحياة
نفس	أني
مع	نفس
حاجة	معه
سبب	بحاجة
الذي	بسبب
استطاع	الذين
بأس	تستطيع
اي	بأس
دون	اي
ل	بدون
بدا	لكم
رأى	تبدو
جحيم	أرى
كان	الجحيم
اعتقد	تكن
عند	اعتقد
آسف	عند
حيث	آسفة
دائم	حيث
أنت	دائماً
تحت	وأنت
حسن	تحت
تعال	حسنًا
فعل	تعال
بل	بالفعل
فضل	بل
شيء	فضلك
ليلة	الأشياء
نفس	ليلة
كي	نفسك
اعتقد	لكي
هو	تعتقد
حق	وهو
مشكلة	بحق
شيء	مشكلة
رجا	شيئا
أذهب	أرجوك
أراد	أذهب
تمام	يريد
ال	تماماً
وحيد	الـ
قتل	الوحيد
إن	قتل
شخص	إنهم
رأى	الشخص
عزيز	رأيت
طوال	عزيزتي
هذا	طوال
شرطة	بهذه
أن	الشرطة
أحب	الأن
الذي	أحب
أيض	الذى
ب	أيضا
أراد	بنا
كان	أردت
كل	أكن
نار	كلّ
سمع	النار
أجل	سمعت
جميع	اجل
أن	جميع
قليل	أَنْ
مالذي	قليلاً
أن	مالذي
الآن	بأنه
إلى	والآن
انتظر	إلي
فتاة	انتظر
كبير	فتاة
عرف	كبير
أو	يعرف
في	او
حسن	فيها
رجل	حسنٌ
أريد	الرجال
أن	اريد
سبب	لأنه
سنة	السبب
باب	سنوات
ذهب	الباب
دون	نذهب
حياة	دون
بد	حياتي
سيارة	لابد
أراد	السيارة
خارج	تريدين
من	خارج
ثلاث	ومن
فعل	ثلاثة
ذهب	فعله
كان	تذهب
أذهب	كانوا
حصول	اذهب
قال	الحصول
واقع	يقول
كثير	الواقع
أعرف	كثيراً
أن	اعرف
سبب	أنهم
كبير	سبب
من	كبيرة
احتاج	مما
قام	أحتاج
إن	قمت
من	إنّه
كان	منها
تو	كنتُ
أستطيع	للتو
نوع	استطيع
هناك	نوع
عرف	هنالك
جميل	تعرفين
كل	جميلة
دولار	بكل
أن	دولار
أن	بأنك
أفضل	لأنني
دائم	الأفضل
جديد	دائما
أمر	جديد
أين	الامر
ضبط	اين
جون	بالضبط
ودع	جون
نظر	دعنا
مدينة	أنظر
خاص	المدينة
تعلم	الخاص
جميل	تعلمين
سرعة	جميل
أرض	بسرعة
لحظة	الأرض
طريقة	لحظة
طريقة	الطريقة
رائع	طريقة
سعيد	رائعة
دقيقة	سعيد
لكن	دقيقة
غرفة	لكنه
إلى	غرفة
تحدث	إليه
ثاني	التحدث
ودع	ثانية
لكن	دعني
فتاة	لكنني
لم	الفتاة
لم	لمَ
أنتم	ولم
عظيم	أنتم
ان	عظيم
اوه	انهم
جيد	اوه
لدى	جيداً
بين	لديّ
نفس	بينما
إلى	نفسي
قام	إليك
لدى	قام
عام	لديها
اعلم	عام
عمل	اعلم
كان	يعمل
عيد	سأكون
رفقة	عيد
ألم	رفاق
ل	ألم
عمل	لهم
تحدث	تعمل
قيام	تتحدث
الله	القيام
ساعة	الله
مرة	ساعة
هيا	المرة
رأى	هيّا
مهل	ترى
جاك	مهلاً
أنت	جاك
خير	أنتَ
متأكد	الخير
جميع	متأكد
حاول	جميعاً
شيئ	أحاول
موت	شيئ
رقم	الموت
من	رقم
سيارة	منهم
مجدد	سيارة
أيها	مجدداً
عن	ايها
فعل	عنك
قد	يفعل
ذهب	فقد
مزيد	ذهبت
تمنى	المزيد
مات	أتمنى
تم	مات
لكن	يتم
طريق	لكني
وجد	طريق
قد	وجدت
أول	وقد
مع	أول
سعيد	معها
لدى	سعيدة
قصد	لدى
إلا	أقصد
صباح	إلا
رئيس	صباح
أحد	الرئيس
فرصة	احد
أول	فرصة
تب	الأولى
رام	تباً
على	يرام
كفى	عليكِ
علاقة	يكفي
صغير	علاقة
أقل	صغيرة
أن	الأقل
غريب	لأنك
ذهب	غريب
مدرسة	لنذهب
صباح	المدرسة
فهم	ــ
حين	الصباح
صديق	أفهم
ذهب	حين
أن	صديقي
أتى	سأذهب
خاص	أنكِ
أخبر	تأتي
قام	الخاصة
استطاع	أخبرني
نفس	تقوم
التي	نستطيع
طفل	نفسه
حالة	التى
لى	الأطفال
استطاع	يستطيع
جرى	يجري
فعل	نفعل
تعلم	أتعلم
فكر	أفكر
ود	أود
شيء	شىء
قام	أقوم
حب	الحب
أن	أنّه
كان	كنتِ
معا	معاً
لدى	لديهم
جديد	جديدة
علم	يعلم
قال	قالت
بدأ	بدأت
أول	الأول
دقيقة	دقائق
عن	عني
سيد	سيدة
حال	حالك
إن	إنني
عزيز	عزيزي
رجل	رجال
عرف	نعرف
جنس	الجنس
انبغى	ينبغي
مع	معنا
طفل	الطفل
ليس	وليس
احتاج	تحتاج
قليل	قليلا
أسمع	اسمع
ساعة	الساعة
فهم	فهمت
عن	عنها
أراد	أريدك
رجاء	رجاءً
فعل	تفعله
ماذا	وماذا
ظن	ظننت
سيد	سيدتي
بعض	البعض
صغير	الصغير
عنى	تعني
إن	إنّها
بيت	البيت
رأي	رأيك
كان	تكوني
هنا	هُنا
والد	والدك
عودة	العودة
تمام	تماما
قام	يقوم
سجن	السجن
ليل	الليل
سيد	السيدة
أخ	أخي
أن	بأنني
طويل	طويلة
والد	والدي
هي	وهي
هاتف	الهاتف
مهل	مهلا
احتاج	نحتاج
أي	أيتها
ما	وما
أكثر	اكثر
تحدث	أتحدث
يوم	أيام
أحد	أحدهم
أول	أولاً
ماضي	الماضي
أحب	أحبك
طعام	الطعام
بقاء	البقاء
عام	العام
أي	أية
جديد	الجديد
من	مِنْ
لكن	لكنك
أبد	أبدا
سيئ	ً
طفل	سيئة
فوق	طفل
حياة	فوق
داخل	حياتك
كان	داخل
كان	وكان
خطأ	نكون
سام	خطأ
نحن	سام
منزل	ونحن
شعر	منزل
على	تشعر
مفترض	عليهم
تحدث	المفترض
طويل	نتحدث
نصف	طويل
فريق	نصف
أخذ	فريق
ماء	أخذ
لاحق	الماء
حق	لاحقاً
أتى	حق
صديق	يأتي
غد	صديق
فعل	غداً
من	سأفعل
صغير	منا
أراد	الصغيرة
أنا	نريد
منزل	وانا
ايض	للمنزل
آه	ايضا
أخذ	آه
جزء	خذ
لكن	جزء
جو	لكنها
شيء	جو
كلمة	أشياء
فعل	كلمة
عمل	تفعلين
أمكن	أعمل
آخر	يمكنه
حاول	الآخر
هل	تحاول
صغير	هَلْ
ليس	صغير
خصوص	لستُ
أخبر	بخصوص
حال	أخبرك
أي	الحال
نظرة	بأي
أجل	نظرة
خروج	لأجل
ظن	الخروج
نوم	تظن
ماضي	النوم
دكتور	الماضية
مرأة	دكتور
انظر	المرأة
بد	انظري
مدة	بد
وجود	لمدة
حرب	وجود
ذو	الحرب
أقلق	ذا
لا	تقلق
عرف	بلا
ثلاث	عرفت
هلا	ثلاث
درى	هلا
لعين	أدري
ذهب	اللعين
الا	ذهب
مشكلة	الا
أسبوع	المشكلة
وحيد	الأسبوع
كل	الوحيدة
تعالى	كله
مايكل	تعالي
إن	مايكل
كلا	إنك
حاول	كلاّ
أهل	حاولت
