leer	leer
berei	Berei
optimaliseer	optimaliseer
aanraai	aangeraai
assesseringstaak	Assesseringstake
boublok	boublokke
assesseringstandaard	assesseringstandaarde
wetsgehoorsaam	wetsgehoorsaam
uitdaag	uitdagend
speaker	speaker
skoolbeheerraad	skoolbeheerrade
2014	2014
handelaar	handelaar
beslis	beslis
helfte	helfte
groep	Groep
nomineer	nomineer
gelyklopend	Gelyklopend
geringskat	geringskat
pasiënt	pasiënte
huwelik	Huwelike
miljoen	miljoen
indien	ingedien
dwelmhandel	dwelmhandel
59%	59%
tref	getref
konsepgrondwet	konsepgrondwet
ernstig	ernstig
relatief	relatiewe
belastingbetaling	belastingbetaling
R20	R20
registrasiekomitee	Registrasiekomitee
demokraties	Demokratiese
akademies	akademiese
aksynskantoor	aksynskantoor
wykskomitee	wykskomitee
lewende	lewende
wegdoen	wegdoen
bewaarheid	bewaarheid
slagspreuk	slagspreuk
energiepypleiding	energiepypleiding
gevangenis	gevangenis
deeglik	deeglik
gelyklopend	gelyklopend
stryd	stryd
Afrikaans	Afrikaans
fiskaal	fiskaal
1965	1965
opwekkingskapasiteit	opwekkingskapasiteit
ABET	ABET
ontwikkelingsvennoot	ontwikkelingsvennote
hy	hy
nywerheid	nywerheid
verdien	verdien
helaas	helaas
saam	saam
onderhoudsbetaling	onderhoudsbetaling
afrigter	afrigters
Enterprise	Enterprises
dink	dink
verlaging	verlaging
nie-rassig	nie-rassige
moord	moorde
ontvangserkenning	ontvangserkenning
hoekom	hoekom
indiening	indiening
man	manne
uitvoerdoeleinde	uitvoerdoeleinde
veeldoelig	veeldoelig
uitnemend	uitnemend
veeltalige	veeltaliges
dierevoer	dierevoer
gelykheid	gelykheid
orde	Orde
uitdra	uitgedra
taal-in-onderwys-beleid	taal-in-onderwys-beleid
Gateway-inbelsentrum	Gateway-inbelsentrum
grondeienaar	grondeienaar
sistematies	sistematiese
moeite	moeite
se	se
wet	wette
Thabo	Thabo
bedreiging	bedreiging
leef	Lewende
Electric	Electric
Kenia	Kenia
varswatervis	Varswatervis
saadtoetstarief	saadtoetstarief
behandeling	behandeling
kragtens	kragtens
beslag	beslag
die	Die
godsdienstig	godsdienstige
inflasie-	inflasie-
verkoopsagent	verkoopsagente
buitengewoon	buitengewone
Amerikaans	Amerikaanse
invul	ingevulde
aas	aas
sorg	sorg
Sentraal-Afrikaans	Sentraal-Afrikaanse
vandag	Vandag
professioneel	professioneel
planttelersreg	Planttelersregte
databasis	databasis
ontwikkelingsbehoefte	ontwikkelingsbehoeftes
streeksintegrasie	streeksintegrasie
misdaadvoorkoming	Misdaadvoorkoming
afname	afname
woon	woon
korrup	korrupte
vakature	vakature
DEA&T-kantoor	DEA&T-kantoor
varswatervis	varswatervis
elektronies	elektronies
heg	hegte
bemarkingsraad	Bemarkingsraad
konflik	konflik
raak	geraak
lisensie	lisensie
landdroskantoor	landdroskantoor
veteraan	veteraan
faks	Faks
R5	R5
organies	organiese
insluit	insluit
kleinsake-onderneming	kleinsake-onderneming
voortsnel	voortsnellende
ontwikkel	ontwikkel
geregtigheid	geregtigheid
application	application
dieregesondheid	dieregesondheid
funksie	funksies
ICT	ICT
hoofdoelstelling	hoofdoelstelling
bankkode	bankkode
duidelik	duidelike
wending	wending
register	register
rapport	Rapporte
beweer	beweer
langdurig	langdurige
plek	Plek
koop	koop
verwelkom	verwelkom
LBS-aftrekking	LBS-aftrekkings
bouprogram	bouprogram
magtig	gemagtigde
begunstigde	begunstigdes
muisklik	muisklik
polisiereservis	Polisiereservis
pas	pas
top-prioriteit	top-prioriteit
opleidingsowerheid	opleidingsowerheid
landbouvoorligtingsbeampte	landbouvoorligtingsbeampte
onregmatig	onregmatig
inskryf	ingeskryf
diepte	diepte
taxi-herkapitaliseringsprojek	taxi-herkapitaliseringsprojek
selfsugtig	selfsugtige
identifisering	identifisering
